date,followers,following,posts,reels_count,reels_total_views
2026-07-22,66,1,16,6,959
2026-07-22,66,1,16,6,959
2026-07-22,66,1,16,6,959
2026-07-22,66,1,16,6,959
2026-07-23,65,1,16,6,959
2026-07-24,65,1,16,6,959
2026-07-25,67,1,16,6,959
2026-07-26,68,1,16,6,959
2026-07-27,66,1,16,6,959
2026-07-28,66,1,16,6,959
2026-07-29,66,1,16,6,959
2026-07-30,66,1,16,6,959
2026-07-31,66,1,16,6,959
2026-08-01,66,1,16,6,959
2026-08-02,66,1,16,6,959
2026-08-03,66,1,16,6,959
2026-08-04,66,1,16,6,959
2026-08-05,66,1,16,6,960
2026-08-06,67,1,16,6,960
2026-08-07,67,1,16,6,960
2026-08-08,67,1,16,6,960
2026-08-09,68,1,16,6,960
2026-08-10,68,1,16,6,960
2026-08-11,69,1,16,6,960
2026-08-12,69,1,16,6,960
2026-08-13,70,1,16,6,960
2026-08-14,70,1,16,6,960
2026-08-15,70,1,16,6,960
2026-08-16,70,1,16,6,960
